AK - Alaska Native Medical Center - (Anchorage, AK)
AK - Alaska Regional Hospital - (Anchorage, AK)
AK - Bartlett Regional Hospital - (Juneau, AK)
AK - Central Peninsula General Hospital - (Soldotna, AK)
AK - Foundation Health Partners Fairbanks Memorial Hospital - (Fairbanks, AK)
AK - JBER Elmendorf Air Force Base Hospital - (Elmendorf Air Force Base, AK)
AK - Mat-Su Regional Medical Center - (Palmer, AK)
AK - Providence Alaska Medical Center - (Anchorage, AK)
AK - The Children's Hospital at Providence - (Anchorage, AK)
AK - Yukon-Kuskokwim Delta Regional Hospital - (Bethel, AK)
AL - RMC Stringfellow Memorial Hospital - (Anniston, AL)
AL - Andalusia Health - (Andalusia, AL)
AL - Athens-Limestone Hospital - (Athens, AL)
AL - Atmore Community Hospital - (Atmore, AL)
AL - Baptist Medical Center East - (Montgomery, AL)
AL - Baptist Medical Center South - (Montgomery, AL)
AL - Bibb Medical Center - (Centreville, AL)
AL - Birmingham VA Medical Center - (Birmingham, AL)
AL - Brookwood Baptist Medical Center - (Birmingham, AL)
AL - Bryan W. Whitfield Memorial Hospital - (Demopolis, AL)
AL - Bullock County Hospital - (Union Springs, AL)
AL - Central Alabama Veterans Health Care System - East Campus - (Tuskegee, AL)
AL - Central Alabama Veterans Health Care System - West Campus - (Montgomery, AL)
AL - Cherokee Medical Center - (Centre, AL)
AL - Citizens Baptist Medical Center - (Talladega, AL)
AL - Clay County Hospital - (Ashland, AL)
AL - Community Hospital - (Tallassee, AL)
AL - Coosa Valley Medical Center - (Sylacauga, AL)
